Year;Month;Punctuality in percent;Number of train spottings;Number of train spottings with a delay inferior to 6 minutes;Minutes of delay;Punctuality after neutralization;Number of train spottings with a delay inferior to 6 minutes after neutralization;Number of train spottings YTD;Number of train spottings with a delay inferior to 6 minutes YTD;Punctuality YTD in percent
2016;2016-01;89.86934311677146;100033;89899;212787;95.99232253356392;96024;100033;89899;89.86934311677146
2016;2016-07;92.92881890707217;100153;93071;161023;98.22771160125009;98378;694659;626479;90.18511240767053
2016;2016-12;89.22916044218702;107104;95568;229134;93.43908724230654;100077;1215011;1083620;89.18602383023693
2017;2017-02;89.01135170275542;99985;88998;224076;92.56788518277742;92554;207816;186820;89.89683181275744
2018;2018-01;88.58053053972922;114261;101213;259583;92.0480303865711;105175;114261;101213;88.58053053972922
2019;2019-04;90.97366057517824;109114;99265;203130;94.16023608336236;102742;441727;400710;90.7144005234002
2019;2019-06;89.02352300119138;108277;96392;232656;92.17562363198094;99805;663141;598208;90.20826641694602
2019;2019-11;86.421224937788;105687;91336;264763;90.59108499626255;95743;1223468;1105218;90.33485142235024
2020;2020-09;92.61283123140144;112912;104571;180956;94.80037551367437;107041;930106;872031;93.75608801577454
2021;2021-01;93.95057271902871;113581;106710;156013;95.54767082522605;108524;113581;106710;93.95057271902871
2021;2021-07;94.62160744360695;108657;102813;137363;96.45029772587131;104799;771552;719894;93.30466384637717
2022;2022-01;93.61996614711899;113432;106195;164396;95.23679385005995;108029;113432;106195;93.61996614711899
2023;2023-02;86.17127136501989;102504;88329;274254;90.16916413018029;92427;217786;191052;87.72464713066955
2023;2023-05;87.04083603948372;108703;94616;272652;90.68011002456234;98572;541362;475287;87.79467343478117
2024;2024-01;88.21149102465795;108241;95481;252640;92.12959968958158;99722;108241;95481;88.21149102465795
2024;2024-04;89.59843862577179;109647;98242;225181;93.02580097950697;102000;445813;397108;89.07501575772801
2024;2024-07;91.35929912120858;111403;101777;204972;94.07646113659418;104804;780268;698230;89.4859202222826
2025;2025-04;91.71344222813525;102974;94441;180776;94.05286771418028;96850;405496;369764;91.18807583798608
2016;2016-06;86.85726102466008;96715;84004;261317;97.8359096313912;94622;594506;533408;89.72289598422893
2016;2016-10;86.16800152555302;104880;90373;286975;95.0858123569794;99726;1007953;906139;89.89893377965043
2017;2017-01;90.71788261260676;107831;97822;206171;93.17172241748662;100468;107831;97822;90.71788261260676
2017;2017-03;89.49726231956198;112504;100688;238126;93.26690606556211;104929;320320;287508;89.75649350649351
2017;2017-07;92.20758980752747;102664;94664;171279;94.63395153120861;97155;739415;662828;89.64221715815881
2017;2017-12;86.30821064291318;108335;93502;288679;89.89892463192875;97392;1271327;1122352;88.28192903949967
2018;2018-05;86.51808615736;110333;95458;287274;91.80027734222762;101286;547239;481704;88.02442808352475
2018;2018-06;84.55070446379865;106322;89896;307281;90.7827166531856;96522;653561;571600;87.45931902301392
2019;2019-03;91.5614589;114060;104435;203856;94.3713834823777;107640;332613;301445;90.6293500254049
2019;2019-05;89.3659899;113137;101106;246815;93.55560073185607;105846;554864;501816;90.43945903861126
2019;2019-07;92.3945404;113190;104582;198515;94.40144889124481;106853;776331;702790;90.52710763836559
2020;2020-05;95.34553155765855;104824;99945;117746;96.6353125238495;101297;487407;454288;93.20506270939892
2020;2020-11;92.77118855846678;104042;96521;165498;94.99432921320235;98833;1149735;1074984;93.49841485211809
2021;2021-03;92.92960371321072;113756;105713;177301;95.22926263230072;108329;330578;306334;92.66617863257687
2021;2021-09;90.92216477563481;113342;103053;216004;94.16985759912477;106734;996547;928404;93.16208869225436
2022;2022-12;84.79616176948932;110676;93849;321269;88.76450178900575;98241;1314770;1173337;89.24275728834701
2023;2023-03;87.93150721279287;113063;99418;264898;91.37295136339917;103309;330849;290470;87.79533865902572
2023;2023-08;91.57860034066559;109198;100002;198969;93.95318595578674;102595;867160;767748;88.53591032796716
2024;2024-06;89.85253282290459;111279;99987;231243;92.85040304100504;103323;668865;596453;89.17389906782385
2024;2024-10;89.48799959704839;119121;106599;252996;92.45473090387085;110133;1120845;1005478;89.7071405948191
2025;2025-03;91.89398730948932;98026;90080;170241;94.35149858200886;92489;302522;275323;91.00924891412856
2016;2016-03;90.7478171153442;104678;94993;209805;97.56421400529186;102128;306944;277797;90.50413104670558
2016;2016-05;89.21380003935371;91478;81611;210082;98.22798924331533;89857;497791;449404;90.27965551807887
2016;2016-08;91.75729378695358;103170;94666;184347;96.83725889308907;99907;797829;721145;90.3884165654545
2016;2016-09;89.90631294895671;105244;94621;218103;95.91235604880089;100942;903073;815766;90.33223227801075
2016;2016-11;81.95069732076755;99954;81913;337994;87.29115393080818;87251;1107907;988052;89.18185371154799
2017;2017-04;92.55592813172514;99905;92468;165001;95.4847104749512;95394;420225;379976;90.42203581414718
2017;2017-05;86.55393203086521;109638;94896;283128;91.7464747623999;100589;529863;474872;89.62165691886393
2017;2017-08;92.76316414450872;105267;97649;165955;95.31192111487931;100332;844682;760477;90.0311596553496
2017;2017-09;87.214797451844;105802;92275;264956;92.08521578042003;97428;950484;852752;89.7176596344599
2017;2017-11;82.1561232070404;104994;86259;343014;88.61839724174715;93044;1162992;1028850;88.46578480333484
2018;2018-08;91.30600953663597;109892;100338;199761;94.42816583554763;103769;868870;765025;88.04826959153843
2018;2018-09;83.90006363611211;108429;90972;314266;90.30600951783671;97917;977299;855997;87.58803600535762
2018;2018-10;84.44604134082935;118285;99887;330034;90.17204210170351;106660;1095584;955884;87.24880976721091
2018;2018-11;83.85994412953269;110613;92760;323770;89.12243588005026;98581;1206197;1048644;86.93803748475581
2018;2018-12;90.00989653621232;111150;100046;218773;92.49212775528565;102805;1317347;1148690;87.1972229033049
2019;2019-01;90.04911344599687;115447;103959;233743;92.66589863747001;106980;115447;103959;90.04911344599687
2019;2019-08;94.05088133416538;110571;103993;151128;95.65980229897532;105772;886902;806783;90.96642019073133
2019;2019-12;90.6114965403503;108537;98347;203327;93.06503772906936;101010;1332005;1203565;90.3573935533275
2020;2020-02;90.12855013080046;106651;96123;217472;94.20727419339715;100473;222169;202641;91.21029486562031
2020;2020-03;92.91333774362627;98255;91292;149031;95.33560633046663;93671;320424;293933;91.73251691508752
2020;2020-06;94.39475472460468;108898;102794;138825;96.19644070598174;104756;596305;557082;93.42232582319451
2020;2020-08;94.59286426369847;109337;103425;138417;96.07269268408682;105043;817194;767460;93.91405223239524
2020;2020-12;95.10970456675093;113122;107590;134224;96.2040982302293;108828;1262857;1182574;93.64274814963215
2021;2021-04;93.88026940322308;106606;100082;146899;95.87265257114984;102206;437184;406416;92.96223100570926
2021;2021-05;94.29940678650597;111427;105075;147373;95.99468710456172;106963;548611;511491;93.23382141444483
2021;2021-06;92.39263588953834;114284;105590;191581;94.86454796821953;108415;662895;617081;93.08879988535138
2021;2021-08;94.45066411113002;111653;105457;140410;96.30193546075787;107523;883205;825351;93.44953889527346
2021;2021-10;89.59463129583068;114143;102266;236909;93.00964579518674;106164;1110690;1030670;92.79546948293404
2021;2021-11;90.83419438018343;109363;99339;205313;93.21708438868723;101945;1220053;1130009;92.6196648834108
2021;2021-12;92.51190876123042;116091;107398;186859;94.30619083305338;109481;1336144;1237407;92.61030248236717
2022;2022-02;91.06149705970297;100330;91362;197223;94.37855078241803;94690;213762;197557;92.4191390424865
2022;2022-04;90.5121098698058;104997;95035;207751;93.50457632122823;98177;436205;398227;91.29354317350787
2022;2022-06;88.15574246717377;111877;98626;261805;92.21913351269698;103172;659662;596994;90.4999833247936
2022;2022-09;88.66151414017213;113860;100950;261218;91.84085719304409;104570;993934;900239;90.57331774544386
2023;2023-01;89.10584479797366;115282;102723;247888;92.40644680002082;106528;115282;102723;89.10584479797366
2023;2023-06;86.68081455727638;110735;95986;280513;90.47997471440827;100193;652097;571273;87.60552494490851
2023;2023-07;91.12832380862419;105865;96473;196968;93.78264771170831;99283;757962;667746;88.09755634187466
2024;2024-02;88.19451295527314;111499;98336;254834;91.83131687279706;102391;219740;193817;88.20287612633112
2024;2024-05;88.8926663863366;111773;99358;244104;92.38993316811752;103267;557586;496466;89.03846222824819
2024;2024-12;91.7792461642248;115622;106117;197204;93.64653785611735;108276;1344850;1206743;89.7306762836004
2025;2025-01;91.33462585093157;115021;105054;207661;93.63594474052564;107701;115021;105054;91.33462585093157
2025;2025-02;89.62168203408774;89475;80189;185193;92.99692651578654;83209;204496;185243;90.5851459197246
2025;2025-05;91.51370357014063;110920;101507;197652;94.17868734222863;104463;516416;471271;91.25801679266328
2016;2016-02;90.87574462257784;102233;92905;203292;95.16594446020366;97291;202266;182804;90.37801706663502
2016;2016-04;90.56748080387244;99369;89996;195684;96.48481920921012;95876;406313;367793;90.51962403368832
2017;2017-06;87.28014370181873;106888;93292;273664;92.02903974253425;98368;636751;568164;89.22859956246634
2017;2017-10;83.56028052160649;107514;89839;330432;89.91759212753688;96674;1057998;942591;89.09194535339387
2018;2018-02;87.25489234391092;101945;88952;250288;90.77149443327285;92537;216206;190165;87.95546839588171
2018;2018-03;88.5166547683307;114862;101672;257576;92.2733366996918;105987;331068;291837;88.15016854543477
2018;2018-04;89.20142103970218;105838;94409;224233;93.00156843477768;98431;436906;386246;88.40482849857865
2018;2018-07;88.30359429693503;105417;93087;244234;92.40350228141571;97409;758978;664687;87.57658324747226
2019;2019-02;90.2479002191919;103106;93051;201277;93.2971893003317;96195;218553;197010;90.14289440090046
2022;2022-07;91.73769892079751;109340;100306;199307;94.15767331260288;102951;769002;697300;90.6759670325955
2022;2022-08;91.82242149236531;111072;101989;196912;94.00659031979256;104415;880074;799289;90.8206582628279
2022;2022-10;85.23988566997575;110907;94537;308146;90.19358561677802;100031;1104841;994776;90.03793306005117
2022;2022-11;85.34956122233082;99253;84712;269619;89.47437357057217;88806;1204094;1079488;89.65147239335136
2023;2023-04;88.5973872900501;101810;90201;232711;91.85345250957666;93516;432659;380671;87.9840705960121
2023;2023-10;85.49108902220081;114185;97618;308821;89.69566930857819;102419;1091322;960693;88.03020556719282
2023;2023-12;87.42427913738793;107302;93808;258986;90.68050921697638;97301;1298613;1136463;87.51360104973537
2024;2024-03;90.22812773779053;116426;105049;230645;93.03849655575215;108321;336166;298866;88.90429133225847
2019;2019-09;90.81181008585598;112514;102176;212675;93.93764331549852;105693;999416;908959;90.94901422430699
2019;2019-10;88.64360241625481;118365;104923;274515;92.08465340261057;108996;1117781;1013882;90.70488763004559
2020;2020-01;92.20900638861475;115518;106518;188467;94.82591457608338;109541;115518;106518;92.20900638861475
2020;2020-04;97.18624817001562;62159;60410;46729;97.9343297028588;60875;382583;354343;92.61859518065361
2020;2020-07;95.87725903614458;111552;106953;117421;97.08207831325302;108297;707857;664035;93.80920157602453
2020;2020-10;92.07955911997023;115587;106432;195455;94.6248280515975;109374;1045693;978463;93.57077077115368
2021;2021-02;90.96289264923819;103241;93911;197684;94.25034627715732;97304;216822;200621;92.52797225373808
2022;2022-03;89.94346337891457;117446;105635;247595;92.99167276876182;109215;331208;303192;91.54126711915171
2022;2022-05;89.74816275318157;111580;100141;237698;92.93332138376053;103695;547785;498368;90.97875991493012
2023;2023-09;86.6790328886949;109977;95327;278705;90.43072642461605;99453;977137;863075;88.32691833386721
2023;2023-11;81.97101681184931;99989;81962;324445;87.15058656452209;87140;1191311;1042655;87.52164632073405
2024;2024-08;92.26087763243343;107790;99448;178535;94.39372854624733;101747;888058;797678;89.82273680322682
2024;2024-09;89.0336600214664;113666;101201;246854;92.13397146024317;104725;1001724;898879;89.73319996326333
2024;2024-11;87.78867534576456;108383;95148;258772;91.73302086120518;99423;1229228;1100626;89.53798644352389
